1,The Beauty is Everywhere Tour,Chelsea Cutler,2025-02-22,2025-02-22,20:00,23:00,chelsea_cutler_stellarina.jpeg,1,The Met,the_met_philly.png,858 N Broad St,Philadelphia,PA,19130,USA
2,The Life Tour, Andrew Schultz,2024-04-24,2024-04-24,20:00,23:00,andrew_schultz_life_tour.jpg,1,The Met,the_met_philly.png,858 N Broad St,Philadelphia,PA,19130,USA
3,Decibel Metal & Beer Festival,Various Artists,2024-04-14,2024-04-14,16:30:00,19:30:00,decibel_metal_beer_festival.jpg,2,The Fillmore Philadelphia,the_fillmore_philly.png,29 E Allen St,Philadelphia,PA,19123,USA
4,Benson Boone,Benson Boone,2024-04-20,2024-04-20,20:00:00,23:00:00,benson_boone.png,2,The Fillmore Philadelphia,the_fillmore_philly.png,29 E Allen St,Philadelphia,PA,19123,USA
5,Fortune Feimster: Live Laugh Love!,Fortune Feimster,2024-04-13,2024-04-13,20:00:00,22:00:00,fortune_feimster.jpg,3,Moore Theatre,the_moore_seattle.png,1932 2nd Ave,Seattle,WA,98101,USA
6,Abhishek Upmanyu Live,Abhishek Upmanyu,2024-04-14,2024-04-14,20:00:00,22:00:00,abhishek_upmanyu.png,3,Moore Theatre,the_moore_seattle.png,1932 2nd Ave,Seattle,WA,98101,USA
7,Loosegroove Revue ft. Painted Shield,Painted Shield,2024-03-02,2024-03-02,20:00:00,23:00:00,loose_groove.jpg,4,Paramount Theatre,the_paramount_seattle.png,911 Pine St,Seattle,WA,98101,USA
8,Bluey's Big Play,Bluey,2024-03-21,2024-03-21,15:00:00,16:00:00,BlueysBigPlay.jpg,4,Paramount Theatre,the_paramount_seattle.png,911 Pine St,Seattle,WA,98101,USA
9,Shane Gillis,Shane Gillis,2024-04-01,2024-04-01,20:00:00,22:00:00,shane_gillis.jpg,5,Radio City Music Hall,the_radio_city_nyc.png,1260 6th Ave,New York,NY,10020,USA
10,The Lord Of The Rings: The Two Towers In Concert,Howard Shore,2024-03-16,2024-03-16,19:00:00,22:00:00,lotr_tt.jpg,5,Radio City Music Hall,the_radio_city_nyc.png,1260 6th Ave,New York,NY,10020,USA
11,Tedeschi Trucks Band,Tedeschi Trucks Band,2024-04-01,2024-04-01,20:00:00,23:00:00,tedeschi_trucks_band.jpg,6,Beacon Theatre,the_beacon_nyc.png,2124 Broadway,New York,NY,10023,USA
12,Alex Edelman's Just For Us,Alex Edelman,2024-03-14,2024-03-14,20:00:00,22:00:00,alex_edelman_just_for_us.jpg,6,Beacon Theatre,the_beacon_nyc.png,2124 Broadway,New York,NY,10023,USA
13,Neutro Shorty - Alien Life U.S.A. Tour,Neutro Shorty,2024-03-22,2024-03-22,20:00:00,22:00:00,neuro_shorty.jpg,7,Fillmore Miami Beach,the_fillmore_miami.png,1700 Washington Ave,Miami,FL,33139,USA
14,Bill Maher: The WTF? Tour,Bill Maher,2024-03-23,2024-03-23,20:00:00,22:00:00,bill_maher.jpg,7,Fillmore Miami Beach,the_fillmore_miami.png,1700 Washington Ave,Miami,FL,33139,USA
15,Miami Open Tennis,Various Tennis Players,2024-03-17,2024-03-31,8:00:00,14:00:00,miami_open.jpg,8,Hard Rock Stadium,the_hard_rock_miami.png,347 Don Shula Dr,Miami Gardens,FL,33056,USA
16,Formula 1 Miami Grand Prix,Various Drivers,2024-05-03,2024-05-05,8:00:00,14:00:00,f1_miami.jpg,8,Hard Rock Stadium,the_hard_rock_miami.png,347 Don Shula Dr,Miami Gardens,FL,33056,USA
17,Lizzy McAlpine: The Older Tour,Lizzy McAlpine,2024-05-18,2024-05-18,20:00:00,22:00:00,lizzy_tour.jpeg,9,Greek Theatre,the_greek_la.png,2700 N Vermont Ave,Los Angeles,CA,90027,USA
18,Peter Frampton - Never Say Never Tour,Peter Frampton,2024-04-13,2024-04-13,20:00:00,22:00:00,peter_frampton.jpeg,9,Greek Theatre,the_greek_la.png,2700 N Vermont Ave,Los Angeles,CA,90027,USA
19,"Netflix Is A Joke: Seinfeld, Gaffigan, Bargatze & Maniscalco","Jerry Seinfeld, Jim Gaffigan, Nate Bargatze, Sebastian Maniscalco",2024-05-01,2024-05-01,20:00:00,23:00:00,netflix_is_a_joke.jpg,10,Hollywood Bowl,the_hollywood_bowl_la.png,2301 N Highland Ave,Los Angeles,CA,90068,USA
20,Netflix Is A Joke: Bill Burr Live,Bill Burr,2024-05-03,2024-05-03,20:00:00,23:00:00,netflix_is_a_joke.jpg,10,Hollywood Bowl,the_hollywood_bowl_la.png,2301 N Highland Ave,Los Angeles,CA,90068,USA
