1,1,The Beauty is Everywhere Tour,Chelsea Cutler,2025-02-22,2025-02-22,20:00,23:00,chelsea_cutler_stellarina.jpeg
2,1,The Life Tour, Andrew Schultz,2024-04-10,2024-04-10,20:00,23:00,andrew_schultz_life_tour.jpg
3,2,Decibel Metal & Beer Festival,Various Artists,2024-04-14,2024-04-14,16:30:00,19:30:00,decibel_metal_beer_festival.jpg
4,2,Benson Boone,Benson Boone,2024-04-20,2024-04-20,20:00:00,23:00:00,benson_boone.png
5,3,Fortune Feimster: Live Laugh Love!,Fortune Feimster,2024-04-13,2024-04-13,20:00:00,22:00:00,fortune_feimster.jpg
6,3,Abhishek Upmanyu Live,Abhishek Upmanyu,2024-04-14,2024-04-14,20:00:00,22:00:00,abhishek_upmanyu.png
7,4,Loosegroove Revue ft. Painted Shield,Painted Shield,2024-03-02,2024-03-02,20:00:00,23:00:00,loose_groove.jpg
8,4,Bluey's Big Play,Bluey,2024-03-21,2024-03-21,15:00:00,16:00:00,BlueysBigPlay.jpg
9,5,Shane Gillis,Shane Gillis,2024-04-01,2024-04-01,20:00:00,22:00:00,shane_gillis.jpg
10,5,The Lord Of The Rings: The Two Towers In Concert,Howard Shore,2024-03-16,2024-03-16,19:00:00,22:00:00,lotr_tt.jpg
11,6,Tedeschi Trucks Band,Tedeschi Trucks Band,2024-04-01,2024-04-01,20:00:00,23:00:00,tedeschi_trucks_band.jpg
12,6,Alex Edelman's Just For Us,Alex Edelman,2024-03-14,2024-03-14,20:00:00,22:00:00,alex_edelman_just_for_us.jpg
13,7,Neutro Shorty - Alien Life U.S.A. Tour,Neutro Shorty,2024-03-22,2024-03-22,20:00:00,22:00:00,neuro_shorty.jpg
14,7,Bill Maher: The WTF? Tour,Bill Maher,2024-03-23,2024-03-23,20:00:00,22:00:00,bill_maher.jpg
15,8,Miami Open Tennis,Various Tennis Players,2024-03-17,2024-03-31,08:00:00,14:00:00,miami_open.jpg
16,8,Formula 1 Miami Grand Prix,Various Drivers,2024-05-03,2024-05-05,08:00:00,14:00:00,f1_miami.jpg
17,9,Lizzy McAlpine: The Older Tour,Lizzy McAlpine,2024-05-18,2024-05-18,20:00:00,22:00:00,lizzy_tour.jpeg
18,9,Peter Frampton - Never Say Never Tour,Peter Frampton,2024-04-13,2024-04-13,20:00:00,22:00:00,peter_frampton.jpeg
19,10,"Netflix Is A Joke: Seinfeld, Gaffigan, Bargatze & Maniscalco","Jerry Seinfeld, Jim Gaffigan, Nate Bargatze, Sebastian Maniscalco",2024-05-01,2024-05-01,20:00:00,23:00:00,netflix_is_a_joke.jpg
20,10,Netflix Is A Joke: Bill Burr Live,Bill Burr,2024-05-03,2024-05-03,20:00:00,23:00:00,netflix_is_a_joke.jpg
